conversation_set_id,conversation_set_name,conversation_id,conversation_date,highlight_id,highlight_start,highlight_end,highlight_author,highlight_description,highlight_words,highlight_speakers,highlight_primary_speaker,tag_title,tag_description
80,Current 1 - Mari,1544,2021-10-18,4525326,2438.7,2445.0,Maridena Rojas,Q (1),"Should we get this shot? Should we not get the shot? And if we have this shot, are we going to die from the shots? You know what I'm saying? Mm-hmm (affirmative).","Trayce, Edythe",,*type of highlight.question,
80,Current 1 - Mari,1544,2021-10-18,4525326,2438.7,2445.0,Maridena Rojas,Q (1),"Should we get this shot? Should we not get the shot? And if we have this shot, are we going to die from the shots? You know what I'm saying? Mm-hmm (affirmative).","Trayce, Edythe",,public health.covid-19,
80,Current 1 - Mari,1544,2021-10-18,4525318,1484.6,1538.5,Maridena Rojas,E ,"All right. Well, one thing is, it seems like if you're white and poor, nobody wants to help you. Like, if you're rich, they'll help you, or you can just buy everything yourself, and that when they give out the help, they either want certain colors that aren't white or any color, but white. And if you're poor, you're like always the last to get Fios and you're excluded from help. So that's something that I don't think is good. I don't think it's going to change at least in this part of the country, but that's how it is. I don't like that. And during the pandemic, a lot of good resources and things came out and it would be nice if they all stayed, but I don't think that they will and they keep going away, but it was nice to have them when they were here.",Carol,,*type of highlight.experience,
80,Current 1 - Mari,1544,2021-10-18,4525318,1484.6,1538.5,Maridena Rojas,E ,"All right. Well, one thing is, it seems like if you're white and poor, nobody wants to help you. Like, if you're rich, they'll help you, or you can just buy everything yourself, and that when they give out the help, they either want certain colors that aren't white or any color, but white. And if you're poor, you're like always the last to get Fios and you're excluded from help. So that's something that I don't think is good. I don't think it's going to change at least in this part of the country, but that's how it is. I don't like that. And during the pandemic, a lot of good resources and things came out and it would be nice if they all stayed, but I don't think that they will and they keep going away, but it was nice to have them when they were here.",Carol,,institutions.expectations,
80,Current 1 - Mari,1544,2021-10-18,4525318,1484.6,1538.5,Maridena Rojas,E ,"All right. Well, one thing is, it seems like if you're white and poor, nobody wants to help you. Like, if you're rich, they'll help you, or you can just buy everything yourself, and that when they give out the help, they either want certain colors that aren't white or any color, but white. And if you're poor, you're like always the last to get Fios and you're excluded from help. So that's something that I don't think is good. I don't think it's going to change at least in this part of the country, but that's how it is. I don't like that. And during the pandemic, a lot of good resources and things came out and it would be nice if they all stayed, but I don't think that they will and they keep going away, but it was nice to have them when they were here.",Carol,,institutions.accountability,
80,Current 1 - Mari,1544,2021-10-18,4525318,1484.6,1538.5,Maridena Rojas,E ,"All right. Well, one thing is, it seems like if you're white and poor, nobody wants to help you. Like, if you're rich, they'll help you, or you can just buy everything yourself, and that when they give out the help, they either want certain colors that aren't white or any color, but white. And if you're poor, you're like always the last to get Fios and you're excluded from help. So that's something that I don't think is good. I don't think it's going to change at least in this part of the country, but that's how it is. I don't like that. And during the pandemic, a lot of good resources and things came out and it would be nice if they all stayed, but I don't think that they will and they keep going away, but it was nice to have them when they were here.",Carol,,institutions.processes,
80,Current 1 - Mari,1544,2021-10-18,4525318,1484.6,1538.5,Maridena Rojas,E ,"All right. Well, one thing is, it seems like if you're white and poor, nobody wants to help you. Like, if you're rich, they'll help you, or you can just buy everything yourself, and that when they give out the help, they either want certain colors that aren't white or any color, but white. And if you're poor, you're like always the last to get Fios and you're excluded from help. So that's something that I don't think is good. I don't think it's going to change at least in this part of the country, but that's how it is. I don't like that. And during the pandemic, a lot of good resources and things came out and it would be nice if they all stayed, but I don't think that they will and they keep going away, but it was nice to have them when they were here.",Carol,,institutions.institutional resources,
80,Current 1 - Mari,1544,2021-10-18,4525318,1484.6,1538.5,Maridena Rojas,E ,"All right. Well, one thing is, it seems like if you're white and poor, nobody wants to help you. Like, if you're rich, they'll help you, or you can just buy everything yourself, and that when they give out the help, they either want certain colors that aren't white or any color, but white. And if you're poor, you're like always the last to get Fios and you're excluded from help. So that's something that I don't think is good. I don't think it's going to change at least in this part of the country, but that's how it is. I don't like that. And during the pandemic, a lot of good resources and things came out and it would be nice if they all stayed, but I don't think that they will and they keep going away, but it was nice to have them when they were here.",Carol,,public health.covid-19,
80,Current 1 - Mari,1544,2021-10-18,4525318,1484.6,1538.5,Maridena Rojas,E ,"All right. Well, one thing is, it seems like if you're white and poor, nobody wants to help you. Like, if you're rich, they'll help you, or you can just buy everything yourself, and that when they give out the help, they either want certain colors that aren't white or any color, but white. And if you're poor, you're like always the last to get Fios and you're excluded from help. So that's something that I don't think is good. I don't think it's going to change at least in this part of the country, but that's how it is. I don't like that. And during the pandemic, a lot of good resources and things came out and it would be nice if they all stayed, but I don't think that they will and they keep going away, but it was nice to have them when they were here.",Carol,,inequality.race-based,
80,Current 1 - Mari,1544,2021-10-18,4525318,1484.6,1538.5,Maridena Rojas,E ,"All right. Well, one thing is, it seems like if you're white and poor, nobody wants to help you. Like, if you're rich, they'll help you, or you can just buy everything yourself, and that when they give out the help, they either want certain colors that aren't white or any color, but white. And if you're poor, you're like always the last to get Fios and you're excluded from help. So that's something that I don't think is good. I don't think it's going to change at least in this part of the country, but that's how it is. I don't like that. And during the pandemic, a lot of good resources and things came out and it would be nice if they all stayed, but I don't think that they will and they keep going away, but it was nice to have them when they were here.",Carol,,*identity of speaker.race-ethnicity,
80,Current 1 - Mari,1544,2021-10-18,4525317,1571.1,1581.9,Maridena Rojas,Q (in the form of  a statement),"And it's kind of rhetorical and they're not going to do anything about it, but just can you remember that like not everybody white is rich and help us too.",Carol,,*type of highlight.question,
80,Current 1 - Mari,1544,2021-10-18,4525317,1571.1,1581.9,Maridena Rojas,Q (in the form of  a statement),"And it's kind of rhetorical and they're not going to do anything about it, but just can you remember that like not everybody white is rich and help us too.",Carol,,institutions.expectations,
80,Current 1 - Mari,1544,2021-10-18,4525317,1571.1,1581.9,Maridena Rojas,Q (in the form of  a statement),"And it's kind of rhetorical and they're not going to do anything about it, but just can you remember that like not everybody white is rich and help us too.",Carol,,institutions.accountability,
80,Current 1 - Mari,1544,2021-10-18,4525317,1571.1,1581.9,Maridena Rojas,Q (in the form of  a statement),"And it's kind of rhetorical and they're not going to do anything about it, but just can you remember that like not everybody white is rich and help us too.",Carol,,economic opportunity.income,
